ID,Time,Remarks,Geometry,Latitude,Longitude,Elevation,Ortho Height,Instrument Ht,Fix ID,Speed,Bearing,Horizontal Accuracy,Vertical Accuracy,PDOP,HDOP,VDOP,Satellites in View,Satellites in Use
1,07/22/2024 10:03:50.000 MST,O1,POINT Z (-110.43305671 31.60378955 1419.566),31.603789547,-110.433056713,1419.566,0.000,1.250,1,0.009,0.0,0.310,1.000,1.08,0.49,0.96,34,28
2,07/22/2024 10:04:31.000 MST,O2,POINT Z (-110.43322383 31.60377106 1417.327),31.603771065,-110.433223833,1417.327,0.000,1.250,1,0.011,0.0,0.330,0.880,1.02,0.49,0.90,34,29
3,07/22/2024 10:04:45.000 MST,O3,POINT Z (-110.43318686 31.60378097 1417.047),31.603780973,-110.433186857,1417.047,0.000,1.250,1,0.002,0.0,0.300,0.800,0.96,0.47,0.84,36,30
4,07/22/2024 10:05:25.000 MST,O4,POINT Z (-110.43353091 31.60381942 1419.930),31.603819415,-110.433530905,1419.930,0.000,1.250,1,0.010,0.0,0.340,0.820,0.90,0.45,0.79,38,32
5,07/22/2024 10:05:47.000 MST,O4,POINT Z (-110.43361514 31.60380767 1419.405),31.603807672,-110.433615137,1419.405,0.000,1.250,2,0.018,0.0,0.280,0.740,0.90,0.45,0.78,38,32
6,07/22/2024 10:07:22.000 MST,O6,POINT Z (-110.43352544 31.60374130 1409.133),31.603741303,-110.433525445,1409.133,0.000,1.250,2,0.017,0.0,0.250,0.620,0.91,0.45,0.78,39,32
7,07/22/2024 10:09:19.000 MST,O7,POINT Z (-110.43348448 31.60356894 1409.487),31.603568937,-110.433484477,1409.487,0.000,1.250,5,0.003,0.0,0.053,0.120,1.08,0.51,0.95,39,32
8,07/22/2024 10:10:11.000 MST,O8,POINT Z (-110.43362751 31.60358367 1410.847),31.603583673,-110.433627512,1410.847,0.000,1.250,5,0.029,0.0,0.047,0.110,1.14,0.53,1.01,38,32
9,07/22/2024 10:11:27.000 MST,O9,POINT Z (-110.43372583 31.60346755 1411.685),31.603467555,-110.433725833,1411.685,0.000,1.250,5,0.023,0.0,0.051,0.100,1.07,0.51,0.94,40,33
10,07/22/2024 10:13:06.000 MST,O10,POINT Z (-110.43386952 31.60347650 1414.060),31.603476498,-110.433869518,1414.060,0.000,1.250,5,0.011,0.0,0.044,0.098,1.06,0.52,0.93,39,33
11,07/22/2024 10:14:37.000 MST,Y1,POINT Z (-110.43394314 31.60331805 1414.276),31.603318053,-110.433943137,1414.276,0.000,1.250,5,0.021,0.0,0.046,0.100,1.13,0.53,1.00,39,33
12,07/22/2024 10:15:43.000 MST,Y2,POINT Z (-110.43396040 31.60312107 1414.517),31.603121070,-110.433960403,1414.517,0.000,1.250,5,0.025,0.0,0.045,0.100,1.27,0.57,1.13,38,32
13,07/22/2024 10:16:37.000 MST,Y3,POINT Z (-110.43382325 31.60308392 1413.037),31.603083920,-110.433823253,1413.037,0.000,1.250,5,0.009,0.0,0.044,0.100,1.26,0.57,1.13,39,31
14,07/22/2024 10:18:05.000 MST,Y4,POINT Z (-110.43361102 31.60308098 1410.711),31.603080983,-110.433611018,1410.711,0.000,1.250,5,0.006,0.0,0.048,0.100,1.26,0.57,1.12,40,31
15,07/22/2024 10:19:18.000 MST,Y5,POINT Z (-110.43345043 31.60303143 1409.605),31.603031427,-110.433450432,1409.605,0.000,1.250,5,0.011,0.0,0.043,0.100,1.31,0.58,1.18,39,31
16,07/22/2024 10:20:16.000 MST,Y6,POINT Z (-110.43330661 31.60310903 1408.501),31.603109027,-110.433306613,1408.501,0.000,1.250,5,0.011,0.0,0.041,0.100,1.31,0.58,1.17,38,30
17,07/22/2024 10:21:16.000 MST,Y7,POINT Z (-110.43315321 31.60321008 1407.742),31.603210085,-110.433153210,1407.742,0.000,1.250,5,0.011,0.0,0.047,0.110,1.31,0.58,1.17,39,30
18,07/22/2024 10:21:52.000 MST,Jeep,POINT Z (-110.43324057 31.60328465 1407.860),31.603284650,-110.433240568,1407.860,0.000,1.250,5,0.013,0.0,0.043,0.110,1.30,0.58,1.16,38,30
19,07/22/2024 10:22:57.000 MST,Y8,POINT Z (-110.43302653 31.60324375 1407.892),31.603243753,-110.433026527,1407.892,0.000,1.250,2,0.008,0.0,0.320,0.650,0.98,0.49,0.85,39,30
20,07/22/2024 10:23:34.000 MST,Helicopter ,POINT Z (-110.43298342 31.60311396 1409.482),31.603113958,-110.432983423,1409.482,0.000,1.250,2,0.116,0.0,0.270,0.700,0.98,0.49,0.85,38,30
21,07/22/2024 10:24:28.000 MST,Y9,POINT Z (-110.43306811 31.60302806 1407.735),31.603028057,-110.433068107,1407.735,0.000,1.250,2,0.012,0.0,0.270,0.680,0.94,0.48,0.81,38,31
22,07/22/2024 10:26:10.000 MST,Y10,POINT Z (-110.43283770 31.60298004 1413.301),31.602980040,-110.432837703,1413.301,0.000,1.250,2,0.010,0.0,0.290,0.660,1.00,0.49,0.87,41,30
23,07/22/2024 10:27:28.000 MST,R1,POINT Z (-110.43265848 31.60320136 1411.565),31.603201363,-110.432658483,1411.565,0.000,1.250,2,0.025,0.0,0.300,0.710,0.99,0.49,0.86,38,30
24,07/22/2024 10:29:09.000 MST,R2,POINT Z (-110.43266484 31.60287655 1414.589),31.602876552,-110.432664837,1414.589,0.000,1.250,2,0.022,0.0,0.310,0.690,0.99,0.49,0.86,38,30
25,07/22/2024 10:30:15.000 MST,R3,POINT Z (-110.43256553 31.60280780 1414.707),31.602807802,-110.432565535,1414.707,0.000,1.250,2,0.017,0.0,0.290,0.700,0.99,0.49,0.85,39,30
26,07/22/2024 10:31:37.000 MST,R4,POINT Z (-110.43259728 31.60265805 1415.853),31.602658047,-110.432597283,1415.853,0.000,1.250,2,0.018,0.0,0.290,0.680,0.95,0.48,0.81,37,31
27,07/22/2024 10:33:09.000 MST,R5,POINT Z (-110.43267244 31.60246641 1417.006),31.602466407,-110.432672445,1417.006,0.000,1.250,2,0.020,0.0,0.300,0.660,0.94,0.49,0.81,39,31
28,07/22/2024 10:34:34.000 MST,R6,POINT Z (-110.43296757 31.60242982 1415.147),31.602429823,-110.432967565,1415.147,0.000,1.250,2,0.007,0.0,0.290,0.660,0.94,0.49,0.81,39,31
29,07/22/2024 10:36:43.000 MST,R7,POINT Z (-110.43330971 31.60242090 1408.577),31.602420897,-110.433309713,1408.577,0.000,1.250,2,0.027,0.0,0.280,0.690,0.94,0.49,0.80,38,31
30,07/22/2024 10:38:13.000 MST,R8,POINT Z (-110.43367337 31.60242466 1408.474),31.602424663,-110.433673373,1408.474,0.000,1.250,2,0.021,0.0,0.280,0.700,0.93,0.49,0.79,39,31
31,07/22/2024 10:40:06.000 MST,R9,POINT Z (-110.43386597 31.60262054 1412.205),31.602620538,-110.433865967,1412.205,0.000,1.250,2,0.011,0.0,0.280,0.620,0.93,0.49,0.79,39,31
32,07/22/2024 10:41:28.000 MST,R10,POINT Z (-110.43396506 31.60274606 1412.030),31.602746063,-110.433965065,1412.030,0.000,1.250,5,0.004,0.0,0.059,0.140,1.28,0.59,1.13,38,31
33,07/22/2024 10:42:55.000 MST,B1,POINT Z (-110.43416567 31.60291231 1414.141),31.602912313,-110.434165673,1414.141,0.000,1.250,5,0.018,0.0,0.050,0.130,1.27,0.59,1.12,38,31
34,07/22/2024 10:44:43.000 MST,B2,POINT Z (-110.43439196 31.60317586 1418.760),31.603175855,-110.434391963,1418.760,0.000,1.250,5,0.016,0.0,0.049,0.120,1.38,0.63,1.23,38,32
35,07/22/2024 10:47:15.000 MST,B3,POINT Z (-110.43429733 31.60341962 1418.765),31.603419620,-110.434297330,1418.765,0.000,1.250,5,0.017,0.0,0.044,0.110,1.38,0.63,1.23,38,29
36,07/22/2024 10:49:08.000 MST,B4,POINT Z (-110.43432797 31.60381196 1420.460),31.603811962,-110.434327970,1420.460,0.000,1.250,5,0.006,0.0,0.044,0.110,1.38,0.64,1.22,37,29
37,07/22/2024 10:50:33.000 MST,B5,POINT Z (-110.43413906 31.60413628 1418.880),31.604136283,-110.434139062,1418.880,0.000,1.250,5,0.022,0.0,0.044,0.110,1.37,0.64,1.22,37,29
38,07/22/2024 10:51:57.000 MST,B6,POINT Z (-110.43393804 31.60439600 1416.414),31.604396005,-110.433938040,1416.414,0.000,1.250,5,0.029,0.0,0.045,0.110,1.37,0.64,1.21,37,30
39,07/22/2024 10:53:56.000 MST,B7,POINT Z (-110.43379575 31.60479701 1413.919),31.604797007,-110.433795748,1413.919,0.000,1.250,5,0.006,0.0,0.042,0.110,1.23,0.60,1.08,37,30
40,07/22/2024 10:55:16.000 MST,B8,POINT Z (-110.43368666 31.60510907 1411.619),31.605109068,-110.433686658,1411.619,0.000,1.250,5,0.005,0.0,0.042,0.100,1.23,0.60,1.08,38,30
41,07/22/2024 10:56:47.000 MST,B9,POINT Z (-110.43369355 31.60541325 1409.536),31.605413252,-110.433693548,1409.536,0.000,1.250,5,0.033,0.0,0.043,0.100,1.23,0.60,1.07,37,30
42,07/22/2024 10:58:29.000 MST,B10,POINT Z (-110.43385394 31.60571624 1409.024),31.605716237,-110.433853940,1409.024,0.000,1.250,5,0.022,0.0,0.046,0.110,1.17,0.58,1.02,36,30
43,07/22/2024 11:00:18.000 MST,P1,POINT Z (-110.43356512 31.60580705 1406.662),31.605807047,-110.433565120,1406.662,0.000,1.250,5,0.036,0.0,0.042,0.100,1.17,0.58,1.02,36,30
44,07/22/2024 11:02:08.000 MST,P2,POINT Z (-110.43333190 31.60539757 1404.765),31.605397570,-110.433331897,1404.765,0.000,1.250,2,0.008,0.0,0.300,0.680,0.96,0.50,0.82,37,30
45,07/22/2024 11:03:52.000 MST,P3,POINT Z (-110.43304340 31.60533281 1400.919),31.605332813,-110.433043395,1400.919,0.000,1.250,2,0.011,0.0,0.270,0.650,0.96,0.50,0.82,36,30
46,07/22/2024 11:05:33.000 MST,P4,POINT Z (-110.43254265 31.60520463 1405.681),31.605204625,-110.432542647,1405.681,0.000,1.250,2,0.015,0.0,0.280,0.660,0.96,0.50,0.82,35,30
47,07/22/2024 11:07:33.000 MST,P5,POINT Z (-110.43214684 31.60490654 1412.456),31.604906542,-110.432146845,1412.456,0.000,1.250,5,0.006,0.0,0.072,0.170,1.15,0.58,0.99,36,30
48,07/22/2024 11:08:40.000 MST,P6,POINT Z (-110.43188802 31.60476250 1413.547),31.604762495,-110.431888017,1413.547,0.000,1.250,5,0.016,0.0,0.055,0.130,1.15,0.58,0.99,37,30
49,07/22/2024 11:10:16.000 MST,P7,POINT Z (-110.43138342 31.60445341 1419.265),31.604453412,-110.431383422,1419.265,0.000,1.250,2,0.058,0.0,0.110,0.250,1.14,0.58,0.98,38,31
50,07/22/2024 11:11:14.000 MST,P8,POINT Z (-110.43152116 31.60424519 1419.848),31.604245190,-110.431521155,1419.848,0.000,1.250,2,0.610,0.0,0.170,0.340,1.14,0.58,0.98,39,31
51,07/22/2024 11:14:02.000 MST,P10,POINT Z (-110.43182258 31.60419421 1415.724),31.604194213,-110.431822583,1415.724,0.000,1.250,5,0.037,0.0,0.059,0.140,1.12,0.58,0.96,40,31
52,07/22/2024 11:15:17.000 MST,G1,POINT Z (-110.43212892 31.60418167 1413.993),31.604181665,-110.432128915,1413.993,0.000,1.250,2,0.073,0.0,0.069,0.160,1.12,0.58,0.96,39,31
